veryhigh_Bi,,500Bi,,02_Bi,,002_Bi,
X,Y,X,Y,X,Y,X,Y
0.1420801404421539,0.9948949135830101,0.012334714821392367,1.000458140432099,0.012334714821392367,1.0007595486111112,0.012334714821392367,1.000458140432099
2.6583609039055673,0.9604456611210586,9.109186895598981,0.9214891975308642,9.057792250509834,0.9657961998456791,13.888888888888893,0.9929229359567902
5.577246589523128,0.925963615463046,16.76698901388066,0.8603033371913581,18.668590882178805,0.931737075617284,30.0268074468785,0.9844835069444445
8.59678350567922,0.891875088157764,24.167817906716664,0.8021315586419754,29.41007170580884,0.8931568287037037,46.11333135977896,0.9769483024691359
11.415017960758242,0.8574028804585696,31.67143608973094,0.745165412808642,40.71689362541938,0.8536723572530864,63.9986678507993,0.9682074652777779
14.333903646375802,0.8231077560181042,39.89457930399316,0.6809654706790124,52.486267350832186,0.8135850694444445,83.47723833958293,0.9600694444444445
17.252789331993355,0.7895111266537354,47.03843497138346,0.6318359375,63.63890533517533,0.7741005979938271,100.54026050917705,0.9510271990740742
20.272326248149454,0.755520978936636,55.10739425037827,0.5739655671296297,75.81943622130123,0.7328076774691359,114.7765771988685,0.9440948109567902
23.392514394844085,0.7225778711223374,63.124958884283934,0.5191092785493827,87.07486349582263,0.6942274305555556,128.75592066311427,0.9365596064814816
26.613353772077254,0.6891147569133593,72.53017893559635,0.45822482638888895,98.3816854154332,0.6565514081790124,147.20659825011512,0.9284215856481483
29.733541918771884,0.6549524449169404,81.01029537530425,0.4057798032407407,109.17456088415236,0.6200810185185186,163.19033287283733,0.9196807484567902
33.25633498762067,0.6224133961255347,90.62109400697321,0.34881365740740733,123.41087757384383,0.5733627507716049,178.71151568975725,0.9127483603395062
36.47717436485383,0.589751372848901,99.61515689757255,0.29908130787037035,138.9834550358529,0.5221233603395061,192.89643773435958,0.9061173804012346
39.9999674337026,0.5571139444693127,109.43153410959806,0.24844473379629628,151.2667752121571,0.4823374807098765,210.9873528057365,0.8973765432098766
43.422109272012854,0.5247519789366359,118.99093809617787,0.2017264660493826,166.63377409380962,0.43531780478395066,228.56432142622197,0.8886357060185186
46.74359987978455,0.4933955933374544,130.04078679034276,0.15440538194444442,179.5852246562726,0.39432629243827166,249.99588842839285,0.8798948688271605
50.76964910132602,0.46121141377485053,139.54879613183343,0.1176335841049383,196.59685218077757,0.34308690200617287,,
54.29244217017479,0.43065190283994825,151.31816985724623,0.07845052083333326,212.1180349976975,0.29817708333333326,,
58.21784016117771,0.39902614455883834,161.13454706927178,0.050720968364197594,223.06509440168406,0.2662278163580247,,
62.143238152180636,0.368815412687755,173.2122886652194,0.024799864969135665,234.88586277218604,0.2348813657407407,,
66.16928737372209,0.3385201212182577,182.97727123215577,0.010030864197530853,249.99588842839285,0.19328703703703698,,
70.39663905634063,0.30968436121058407,194.43827708703373,0.0033998842592593004,,,,
74.7246419694977,0.28022107997257395,208.21204197092297,0.00008439429012341293,,,,
78.8513424215777,0.25142396908882936,220.1869942766923,0.00008439429012341293,,,,
83.48129902635037,0.2245663415149708,233.54960199986846,0.00008439429012341293,,,,
88.21190686166159,0.1979195273443607,249.99588842839285,0.00008439429012341293,,,,
92.84186346643429,0.17236894287064286,,,,,,
97.87442499336112,0.14698700911952378,,,,,,
103.00763775082646,0.12429294625982301,,,,,,
108.3421529693689,0.10187294082434539,,,,,,
113.77731941844988,0.08128952168050163,,,,,,
119.61509078968498,0.06249299709752609,,,,,,
125.35221093038157,0.04640090731622415,,,,,,
131.4919359932323,0.03066298405237955,,,,,,
137.5310098255445,0.01947019776257264,,,,,,
143.9726885800108,0.010531709464836503,,,,,,
150.51501856501568,0.002894174102258118,,,,,,
156.95669731948203,0.003212268104048732,,,,,,
163.70032976556396,-0.00003425830597825197,,,,,,
169.94070605895323,-0.0006835635879836044,,,,,,
176.28173358288103,-0.0003293970705260385,,,,,,
183.025366028963,0.001677546528399576,,,,,,
189.56769601396786,0.00045763963493494764,,,,,,
196.11002599897273,0.0008511579876655517,,,,,,
202.45105352290054,-0.00018182768825214524,,,,,,
208.9933835079054,-0.00013263789416084748,,,,,,
215.63636472344882,-0.0009196745996218336,,,,,,
222.1786947084537,-0.0005458321645279707,,,,,,
228.72102469345856,-0.0003293970705260385,,,,,,
234.96140098684782,-0.00009328605888780928,,,,,,
241.6043822023912,-0.0006835635879836044,,,,,,
248.24736341793465,-0.0002450717092268295,,,,,,
